average,bypass,deaths,density,injuries,location,Latitude,longitude,outlier_mask,yield
316756.66,0,162880,3000,321430,Amsterdam Netherlands  ,52.3745403,4.897975506,FALSE,100
316756.66,0,95770,3000,269410,Doha Qatar  ,25.2856329,51.5264162,FALSE,100
316756.66,0,168800,3000,495290,Harare Zimbabwe,-17.831773,31.045686,FALSE,100
316756.66,0,146350,3000,219070,Yazd Iran  ,31.8886686,54.3641264,FALSE,100
316756.66,0,54960,3000,56640,Crawley United Kingdom  ,51.1103444,-0.1801094,FALSE,100
316756.66,0,34030,3000,31370,Lowestoft United Kingdom  ,52.4766308,1.7537638,FALSE,100
316756.66,0,244920,3000,305630,Ipoh Malaysia  ,4.5986817,101.0900236,FALSE,100
316756.66,0,80990,3000,196990,"Tongling, AH China  ",30.9345628,117.8089039,FALSE,100
316756.66,0,25970,3000,42180,Bridgend United Kingdom  ,51.55696625,-3.564090929,FALSE,100
316756.66,0,56430,3000,124830,"Xucheng (Zaozhuang), SD China  ",,,FALSE,100
316756.66,0,93460,3000,219800,Katowice-Gliwice-Tychy Poland  ,,,FALSE,100
316756.66,0,95750,3000,284140,Dnipropetrovsk Ukraine  ,48.4680221,35.0417711,FALSE,100
316756.66,0,88650,3000,236100,Stuttgart Germany  ,48.7784485,9.1800132,FALSE,100
316756.66,0,64600,3000,180420,Samara Russia  ,53.198627,50.113987,FALSE,100
316756.66,0,9620,3000,3990,Nuuk Greenland  ,64.175029,-51.7355386,FALSE,100
316756.66,0,73160,3000,138990,Bergamo Italy  ,45.6944947,9.6698727,FALSE,100
316756.66,0,356470,3000,515620,Beirut Lebanon  ,33.8959203,35.47843,FALSE,100
316756.66,0,147120,3000,295640,Copenhagen Denmark  ,55.6867243,12.5700724,FALSE,100
316756.66,0,35870,3000,32410,Macclesfield United Kingdom  ,53.2606635,-2.1255158,FALSE,100
316756.66,0,20790,3000,157940,Bloemfontein South Africa  ,-29.116395,26.215496,FALSE,100
316756.66,0,119960,3000,133890,"Wuzhou, GX China  ",,,FALSE,100
316756.66,0,148840,3000,146960,Arabia Buraydah Saudi  ,26.1503666,43.6625958,FALSE,100
253633.33,0,39390,4000,39500,Darlington United Kingdom  ,54.53525645,-1.552942975,FALSE,100
253633.33,0,35590,4000,45460,Lancaster United Kingdom,54.0484068,-2.7990345,FALSE,100
253633.33,0,57170,4000,84480,Swindon United Kingdom  ,51.5613683,-1.7856853,FALSE,100
253633.33,0,261030,4000,234220,Libreville Gabon  ,0.390002,9.454001,FALSE,100
253633.33,0,86130,4000,146380,Belfast United Kingdom  ,54.5964411,-5.9302761,FALSE,100
253633.33,0,193220,4000,236870,Krasnodar Russia  ,45.0352566,38.9764814,FALSE,100
253633.33,0,47760,4000,79510,Doncaster United Kingdom  ,53.5227681,-1.1335312,FALSE,100
