average,bypass,deaths,density,injuries,location,outlier_mask,yield
316756.6563,0,148840,3000,146960,Arabia Buraydah Saudi  ,FALSE,100
253633.3281,0,39390,4000,39500,Darlington United Kingdom  ,FALSE,100
253633.3281,0,35590,4000,45460,Lancaster United Kingdom,FALSE,100
253633.3281,0,57170,4000,84480,Swindon United Kingdom  ,FALSE,100
253633.3281,0,261030,4000,234220,Libreville Gabon  ,FALSE,100
253633.3281,0,86130,4000,146380,Belfast United Kingdom  ,FALSE,100
253633.3281,0,193220,4000,236870,Krasnodar Russia  ,FALSE,100
253633.3281,0,47760,4000,79510,Doncaster United Kingdom  ,FALSE,100
253633.3281,0,320100,4000,687050,Kuala Lumpur Malaysia  ,TRUE,100
253633.3281,0,95720,4000,151420,Coventry United Kingdom  ,FALSE,100
253633.3281,0,48030,4000,37610,Hartlepool United Kingdom  ,FALSE,100
253633.3281,0,139390,4000,246080,Zagreb Croatia  ,FALSE,100
253633.3281,0,35720,4000,36180,Southport United Kingdom  ,FALSE,100
253633.3281,0,33910,4000,45110,Wellingborough United Kingdom  ,FALSE,100
253633.3281,0,299550,4000,473550,Ciudad Juarez Mexico  ,FALSE,100
253633.3281,0,51770,4000,122770,Bournemouth/Poole United Kingdom  ,FALSE,100
253633.3281,0,222740,4000,289920,Lviv Ukraine  ,FALSE,100
253633.3281,0,29320,4000,62150,Berezniki Russia  ,FALSE,100
253633.3281,0,49650,4000,54240,Exeter United Kingdom  ,FALSE,100
253633.3281,0,33410,4000,85810,Accrington/Rossendale United Kingdom  ,FALSE,100
253633.3281,0,92380,4000,214650,Newcastle upon Tyne United Kingdom  ,FALSE,100
253633.3281,0,36400,4000,34660,Clacton-on-Sea United Kingdom  ,FALSE,100
253633.3281,0,31780,4000,50300,Redditch United Kingdom  ,FALSE,100
253633.3281,0,57700,4000,52220,Bedford United Kingdom  ,FALSE,100
253633.3281,0,35000,4000,40030,Royal Tunbridge Wells United Kingdom  ,FALSE,100
253633.3281,0,58160,4000,115570,Wigan United Kingdom,FALSE,100
253633.3281,0,164820,4000,201850,"Cangzhou, HEB China  ",FALSE,100
253633.3281,0,223860,4000,268410,Saltillo Mexico  ,FALSE,100
253633.3281,0,115130,4000,211460,"Thoothukkudi, TN India  ",FALSE,100
253633.3281,0,59860,4000,68520,Cambridge United Kingdom  ,FALSE,100
253633.3281,0,75840,4000,162490,Niigata Japan  ,FALSE,100
422755,0,359650,5000,506130,"Ningbo, ZJ China  ",FALSE,100
422755,0,58250,5000,74270,York United Kingdom  ,FALSE,100
422755,0,162020,5000,255700,"Yulin, GX China  ",FALSE,100
422755,0,143910,5000,165900,Ceboksary Russia  ,FALSE,100
422755,0,151490,5000,305820,Bishkek Kyrgyzstan  ,FALSE,100
422755,0,949090,5000,1050940,"Kunming, YN China  ",FALSE,100
422755,0,50550,5000,66400,"Bijie, GZ China  ",FALSE,100
422755,0,46220,5000,40520,"Chizhou, AN China  ",TRUE,100
422755,0,224210,5000,301210,Ulaanbaatar Mongolia  ,FALSE,100
422755,0,185160,5000,190600,"Neijiang, SC China  ",FALSE,100
422755,0,139700,5000,191360,"Liaoyuan, JL China  ",FALSE,100
422755,0,68660,5000,145180,"Zhangjiaggang-Jiangyin, (Suzhou-Wuxi) JS China  ",FALSE,100
422755,0,214720,5000,560340,Monterrey Mexico  ,FALSE,100
422755,0,158940,5000,196310,Oaxaca,FALSE,100
422755,0,117030,5000,234790,Mexicali Mexico  ,FALSE,100
422755,0,88320,5000,61510,"Shizuishan, NX China  ",FALSE,100
422755,0,104650,5000,135720,"Dongying, SD China  ",FALSE,100
422755,0,158890,5000,314870,Santos Brazil  ,FALSE,100
422755,0,150570,5000,230220,Uberlandia Brazil  ,FALSE,100
422755,0,78220,5000,86500,Murmansk Russia  ,FALSE,100
422755,0,196900,5000,354590,Barquisimeto,FALSE,100
422755,0,120190,5000,189790,Leicester United Kingdom  ,FALSE,100
422755,0,81310,5000,150980,Cardiff United Kingdom  ,FALSE,100
422755,0,143370,5000,195980,"Shaoguan, GD China  ",FALSE,100
422755,0,90330,5000,107920,Luton United Kingdom  ,FALSE,100
422755,0,47900,5000,85400,Oxford United Kingdom  ,FALSE,100
422755,0,502280,5000,684990,"Wuxi, JS China  ",FALSE,100
422755,0,164520,5000,314230,Joao Pessoa Brazil  ,FALSE,100
422755,0,108410,5000,175950,Tomsk Russia  ,FALSE,100
422755,0,98730,5000,144340,Wakayama Japan  ,FALSE,100
614131,0,158890,6000,314870,Santos Brazil  ,FALSE,100
614131,0,45090,6000,232840,"Liaoyang, LN China  ",FALSE,100
614131,0,117970,6000,540650,Rawalpindi-Islamabad Pakistan  ,FALSE,100
614131,0,214360,6000,525780,Bucharest Romania  ,FALSE,100
614131,0,168170,6000,219770,"Patiala, HR India  ",FALSE,100
614131,0,227820,6000,418950,tianshan Urumqi,FALSE,100
614131,0,102280,6000,120910,Smolensk Russia  ,FALSE,100
614131,0,75390,6000,86650,"Gaoyou (Yangzhou), JS China  ",TRUE,100
614131,0,140500,6000,539490,Fortaleza Brazil  ,FALSE,100
614131,0,288530,6000,872100,Santiago Chile  ,FALSE,100
614131,0,194720,6000,356630,Tainan Taiwan  ,FALSE,100
614131,0,272230,6000,562160,Minsk Belarus  ,FALSE,100
614131,0,193610,6000,308060,Tbilisi Georgia  ,FALSE,100
614131,0,259040,6000,891530,London United Kingdom,FALSE,100
614131,0,202050,6000,254250,Antalya Turkey  ,FALSE,100
614131,0,104650,6000,135720,"Dongying, SD China  ",FALSE,100
614131,0,157620,6000,183940,"Jixi, HL China  ",FALSE,100
614131,0,164520,6000,314230,Joao Pessoa Brazil  ,FALSE,100
614131,0,154390,6000,308240,Sofia Bulgaria  ,FALSE,100
614131,0,129970,6000,234530,Ribeirao Preto Brazil  ,FALSE,100
614131,0,181220,6000,294430,Kingston Jamaica  ,FALSE,100
614131,0,424580,6000,1193700,Bangkok Thailand  ,FALSE,100
614131,0,162360,6000,183010,"Linfen, SAX China  ",FALSE,100
614131,0,298470,6000,441190,Kut al Hajjal Basra,FALSE,100
614131,0,42030,6000,131450,"Qingyuan, GD China  ",FALSE,100
614131,0,765540,6000,1641030,"Tianjin, China  ",FALSE,100
614131,0,66590,6000,120660,"Rizhao, SD China  ",FALSE,100
614131,0,436320,6000,546920,"Rep De Chile, Leon Mexico",FALSE,100
614131,0,175050,6000,195590,"Jiaxing, ZJ China  ",FALSE,100
614131,0,134470,6000,196220,"Shizuoka city, Japan",FALSE,100
544443.5625,0,97630,7000,108150,"Udon Thani, Thailand  ",,100
544443.5625,0,335690,7000,695480,"Taiyuan, SAX China  ",,100
544443.5625,0,232360,7000,383290,"Kaduna, Nigeria",,100
544443.5625,0,132320,7000,176980,"Ezhou, HUB China  ",,100
544443.5625,0,144070,7000,202360,"Lianyungang, JS China  ",,100
544443.5625,0,83620,7000,211900,"Taizhou, ZJ China  ",,100
544443.5625,0,22810,7000,101420,"Pizhou (Xuxhou), JS China  ",,100
544443.5625,0,207540,7000,190540,Faso Bobo-Dioulasso Burkina  ,,100
544443.5625,0,464790,7000,642510,"La Paz, Bolivia  ",,100
544443.5625,0,220270,7000,622640,Kaohsiung Taiwan  ,,100
544443.5625,0,742120,7000,1666790,"Hyderabad, India  ",,100
544443.5625,0,151050,7000,454920,San Salvador El Salvador  ,,100
544443.5625,0,213200,7000,375880,"Toluca, Mexico  ",,100
544443.5625,0,41420,7000,106030,Blumenau Brazil  ,,100
544443.5625,0,142310,7000,318340,Santiago Cuba  ,,100
544443.5625,0,79210,7000,32180,Guinea Malabo Equitorial,,100
544443.5625,0,25570,7000,25560,"Berat, Albania  ",,100
544443.5625,0,169090,7000,234650,Jambi Indonesia  ,,100
544443.5625,0,51770,7000,242550,"Raurkela, India  ",,100
0,1,1170,7000,8570,"Kaduna, Nigeria  ",,100
544443.5625,0,202200,7000,273190,"Bacolod, Philippines  ",,100
544443.5625,0,99120,7000,402640,"Ankara, Turkey",,100
544443.5625,0,350140,7000,385330,"Dandong, China  ",,100
544443.5625,0,228590,7000,190180,"Xalapa, Mexico  ",,100
544443.5625,0,483740,7000,587190,"Shantou, GD China  ",,100
544443.5625,0,211110,7000,374780,"Toluca, Mexico  ",,100
544443.5625,0,252130,7000,712420,Amman Jordan  ,,100
544443.5625,0,82170,7000,135700,"Guigang, GX China  ",,100
544443.5625,0,173050,7000,231380,"Chisinau, Moldova  ",,100
544443.5625,0,90550,7000,148420,"Zhucheng (Weifang), SD China  ",,100
544443.5625,0,202140,7000,241250,"Veracruz, Mexico  ",,100
544443.5625,0,213690,7000,257630,"Taian, SD China  ",,100
638005.6875,0,124320,8000,168010,"Daqing, HL China  ",FALSE,100
638005.6875,0,198310,8000,233140,Kirkuk Iraq  ,FALSE,100
638005.6875,0,251270,8000,311540,Queretaro Mexico  ,FALSE,100
638005.6875,0,75640,8000,96990,"Pinghu (Jiaxing), ZJ China  ",FALSE,100
638005.6875,0,32480,8000,84580,"Anyang, HEN China  ",FALSE,100
638005.6875,0,206990,8000,634430,Bamako Mali  ,FALSE,100
638005.6875,0,261960,8000,1110160,Iolio City Philippines  ,FALSE,100
638005.6875,0,186900,8000,286030,"Fuxin, LN China  ",TRUE,100
638005.6875,0,464420,8000,500150,Niamey Niger  ,FALSE,100
638005.6875,0,240940,8000,184880,"Luzhou, SC China  ",FALSE,100
638005.6875,0,733160,8000,1810390,"Bangalore, India",FALSE,100
638005.6875,0,504190,8000,1210880,"Chongqing, CQ China  ",FALSE,100
638005.6875,0,224280,8000,270660,"Zigong, SC China  ",FALSE,100
638005.6875,0,47650,8000,121920,Sekondi Takoradi Ghana  ,FALSE,100
638005.6875,0,225520,8000,241460,Cancun Mexico  ,FALSE,100
638005.6875,0,157610,8000,218310,Genoa Italy  ,FALSE,100
638005.6875,0,109560,8000,469560,Medan Indonesia  ,FALSE,100
638005.6875,0,96190,8000,103730,"Xinyu, JX China  ",FALSE,100
638005.6875,0,245900,8000,241510,Coast Bouake Ivory  ,FALSE,100
638005.6875,0,231450,8000,268850,"Santiago, Dominican Republic  ",FALSE,100
638005.6875,0,194050,8000,263880,Maceio Brazil  ,FALSE,100
638005.6875,0,239840,8000,215420,"Kandahar Ghazi Park Kandahar, Afghanistan  ",FALSE,100
638005.6875,0,610810,8000,1213680,Addis Ababa Ethiopia  ,FALSE,100
638005.6875,0,171270,8000,188990,Likasi Congo  ,FALSE,100
638005.6875,0,173780,8000,281110,Cucuta Colombia  ,FALSE,100
638005.6875,0,273130,8000,539930,Shiraz Iran  ,FALSE,100
638005.6875,0,87200,8000,233180,Abeokuta Nigeria  ,FALSE,100
638005.6875,0,248600,8000,235540,Nyala Sudan  ,FALSE,100
638005.6875,0,120790,8000,268830,Blantyre Malawi  ,FALSE,100
638005.6875,0,157590,8000,236630,"Jining, SD China  ",FALSE,100
586558.5625,0,454110,9000,682180,"Nanning, GX China  ",FALSE,100
586558.5625,0,211660,9000,444490,"Tangshan, HEB China  ",FALSE,100
586558.5625,0,327010,9000,1295980,Mexico City Mexico  ,FALSE,100
586558.5625,0,114200,9000,217880,"Akola, MH India  ",FALSE,100
586558.5625,0,131000,9000,219880,"Chaoyang-Chaonan (Shantou,) GD China  ",FALSE,100
0,1,2060,9000,4610,Herat Afghanistan  ,FALSE,100
586558.5625,0,356350,9000,590240,"Coimbatore, TN India  ",FALSE,100
586558.5625,0,46150,9000,62270,"Wuhu, AH China  ",TRUE,100
586558.5625,0,184260,9000,125070,Bago Myanmar  ,FALSE,100
586558.5625,0,165670,9000,314570,"Rajahmundry, AP India  ",FALSE,100
586558.5625,0,179900,9000,153890,"Yining, China  ",FALSE,100
586558.5625,0,129700,9000,278910,Konya Turkey  ,FALSE,100
586558.5625,0,316050,9000,489410,Makassar Indonesia  ,FALSE,100
586558.5625,0,215350,9000,328190,"Guilin, GX China  ",FALSE,100
586558.5625,0,190640,9000,136190,Tetouan Morocco  ,FALSE,100
0,1,20,9000,110,Wahran Algeria  ,FALSE,100
586558.5625,0,296490,9000,303260,Trujillo Peru  ,FALSE,100
586558.5625,0,74400,9000,166100, Uyo Nigeria  ,FALSE,100
586558.5625,0,360310,9000,553100,"Jilin, JL China  ",FALSE,100
586558.5625,0,20340,9000,36910,Mayotte Mamoudzou France  ,FALSE,100
586558.5625,0,139570,9000,86200,Sucre Bolivia  ,FALSE,100
586558.5625,0,270810,9000,394930,San Luis Potosí Mexico  ,FALSE,100
586558.5625,0,283440,9000,690980,Santo Domingo Dominican Republic  ,FALSE,100
586558.5625,0,218640,9000,192280,Hamadan Iran  ,FALSE,100
586558.5625,0,183610,9000,263830,Ulsan South Korea  ,FALSE,100
586558.5625,0,296320,9000,586690,"Guiyang, GZ China  ",FALSE,100
586558.5625,0,74500,9000,132700,"Yizing (Wuxi), JS China  ",FALSE,100
586558.5625,0,224250,9000,292640,Kigali Rwanda  ,FALSE,100
586558.5625,0,220340,9000,322520,Bandar Lampung Indonesia  ,FALSE,100
586558.5625,0,510250,9000,867030,Caracas Venezuela,FALSE,100
565150,0,392530,10000,580790,Rabat Morocco  ,FALSE,100
565150,0,60700,10000,67900,"Yiyang, HUN China  ",FALSE,100
565150,0,327010,10000,1295980,Mexico City Mexico  ,FALSE,100
565150,0,283440,10000,690980,"Santo Domingo, Dominican Republic  ",FALSE,100
565150,0,65430,10000,137890,"Tengzhou (Zhaoahuang), SD China  ",FALSE,100
0,1,1090,10000,5220, Aba Nigeria  ,FALSE,100
0,1,92710,10000,417210,Colombo Sri Lankha  ,FALSE,100
565150,0,335170,10000,740760,Izmir Turkey  ,TRUE,100
565150,0,317140,10000,376390,"Qiqihaer, HL China  ",FALSE,100
565150,0,74500,10000,132700,"Yizing (Wuxi), JS China  ",FALSE,100
565150,0,392160,10000,635150,"Ludhiana, PB India  ",FALSE,100
565150,0,114200,10000,217880,"Akola, MH India  ",FALSE,100
565150,0,224250,10000,292640,Kigali Rwanda  ,FALSE,100
565150,0,7970,10000,32650,"Huainan, AH China  ",FALSE,100
565150,0,220340,10000,230290,"Yangquan, SAX China  ",FALSE,100
565150,0,407150,10000,613070,"Wenzhou, ZJ China  ",FALSE,100
565150,0,218640,10000,192280,Hamadan Iran  ,FALSE,100
565150,0,428960,10000,1098220,Seoul-Incheon South Korea  ,FALSE,100
565150,0,59030,10000,86180,Lobito Angola  ,FALSE,100
565150,0,163230,10000,338650,"Mangalore, KA India  ",FALSE,100
565150,0,20340,10000,36910,Mayotte Mamoudzou France  ,FALSE,100
0,1,1290,10000,5830,Balikpapan Indonesia  ,FALSE,100
565150,0,145770,10000,115410,Bamenda Cameroon  ,FALSE,100
565150,0,167960,10000,145080,Kolwezi Congo  ,FALSE,100
565150,0,187580,10000,159070,Huambo Angola  ,FALSE,100
565150,0,145900,10000,250130,Changwon South Korea  ,FALSE,100
565150,0,134000,10000,151270,"Yichun, JX China  ",FALSE,100
565150,0,190640,10000,136190,Tetouan Morocco  ,FALSE,100
565150,0,510250,10000,867030,Caracas Venezuela,FALSE,100
565150,0,11570,10000,31700,"Yibin, SC China  ",FALSE,100
511491.6563,0,60700,11000,67900,"Yiyang, HUN China  ",FALSE,100
511491.6563,0,253830,11000,468380,Sialkot Pakistan  ,FALSE,100
511491.6563,0,414970,11000,433720,Tegucigalpa Honduras  ,FALSE,100
511491.6563,0,107760,11000,152380,"Cherthala, KL India  ",FALSE,100
511491.6563,0,253700,11000,204870,Karbala Iraq  ,FALSE,100
511491.6563,0,200890,11000,276470,Cirebon Indonesia  ,FALSE,100
511491.6563,0,198630,11000,259530,"Tiruppur, TN India  ",FALSE,100
511491.6563,0,207510,11000,617240,"Visakhapatnam, AP India  ",TRUE,100
511491.6563,0,269080,11000,270930,"Yueyang, HUN China  ",FALSE,100
511491.6563,0,332820,11000,647040,"Bhopal, MP India  ",FALSE,100
511491.6563,0,163890,11000,287480,Abuja Nigeria  ,FALSE,100
511491.6563,0,89080,11000,117890,"Wenling (Taizhou), ZJ China  ",FALSE,100
511491.6563,0,343760,11000,521230,"Erode, TN India  ",FALSE,100
511491.6563,0,311860,11000,269920,Mersin Turkey  ,FALSE,100
511491.6563,0,107610,11000,106070,Poza Rica Mexico  ,FALSE,100
511491.6563,0,80420,11000,77170,Timor Dili East,FALSE,100
511491.6563,0,202720,11000,310120,Ilorin Nigeria,FALSE,100
511491.6563,0,154680,11000,187890,Hamhung North Korea  ,FALSE,100
511491.6563,0,342380,11000,350850,Cartagena Colombia,FALSE,100
511491.6563,0,151180,11000,165120,Villahermosa Mexico  ,FALSE,100
511491.6563,0,289530,11000,331340,"Pingdingshan, HEN China  ",FALSE,100
511491.6563,0,306190,11000,518910,Antananarivo Madagascar  ,FALSE,100
511491.6563,0,312870,11000,220020,Chiclayo Peru  ,FALSE,100
511491.6563,0,134360,11000,186080,"Mathura, UP India  ",FALSE,100
511491.6563,0,264320,11000,331980,Leone Freetown Sierra  ,FALSE,100
511491.6563,0,243320,11000,289550,Nouakchott Mauritania  ,FALSE,100
511491.6563,0,150840,11000,184200,"Weihai, SD China  ",FALSE,100
511491.6563,0,255080,11000,411730,"Srinagar, JK India  ",FALSE,100
511491.6563,0,136930,11000,236130,"Tirunelveli, TN India  ",FALSE,100
511491.6563,0,285840,11000,215860,Nampo North Korea  ,FALSE,100
856398.8125,0,106660,12000,197170,Enugu Nigeria  ,FALSE,100
856398.8125,0,35250,12000,103310,Poza Rica Mexico  ,FALSE,100
856398.8125,0,289940,12000,440680,Gwangju South Korea  ,FALSE,100
856398.8125,0,525200,12000,949190,Casablanca Morocco  ,FALSE,100
856398.8125,0,197030,12000,712940,Cebu Philippines  ,FALSE,100
856398.8125,0,86930,12000,115150,Oyo Nigeria  ,FALSE,100
0,1,8190,12000,14280,Tarsus Turkey  ,FALSE,100
0,1,4630,12000,14840,Lima Peru  ,TRUE,100
0,1,0,12000,0,Karbala Iraq  ,FALSE,100
856398.8125,0,87650,12000,202850,Conakry Guinea  ,FALSE,100
856398.8125,0,272090,12000,509640,"Hubli, KL India  ",FALSE,100
856398.8125,0,336630,12000,514160,"Mysore, KA India  ",FALSE,100
856398.8125,0,245650,12000,236500,Sheikhupura Pakistan  ,FALSE,100
0,1,5930,12000,35350,"Raipur, CH India  ",FALSE,100
0,1,1410,12000,34000,Zaria Nigeria  ,FALSE,100
856398.8125,0,749660,12000,1205520,"Sangali, MH India  ",FALSE,100
856398.8125,0,1062430,12000,2628350,"Kolkata, WB India  ",FALSE,100
856398.8125,0,99640,12000,194170,"Bokaro Steel City, JH India  ",FALSE,100
856398.8125,0,105610,12000,122470,"Loudi, HUN China  ",FALSE,100
856398.8125,0,186130,12000,493360,Daejon South Korea  ,FALSE,100
856398.8125,0,332820,12000,647040,"Bhopal, MP India  ",FALSE,100
856398.8125,0,418820,12000,872380,"Delhi, DL-UP-HR India  ",FALSE,100
856398.8125,0,414970,12000,433720,Tegucigalpa Honduras  ,FALSE,100
856398.8125,0,175300,12000,205340,Sylhet Bangladesh  ,FALSE,100
856398.8125,0,122670,12000,146800,"Haicheng (Anshan), LN China  ",FALSE,100
856398.8125,0,747830,12000,1558160,"Pune, MH India  ",FALSE,100
856398.8125,0,302770,12000,742170,Guayaquil Ecuador  ,FALSE,100
856398.8125,0,110860,12000,200400,Naga City Philippines  ,FALSE,100
856398.8125,0,282250,12000,396860,Davao City Philippines ,FALSE,100
856398.8125,0,46860,12000,239990,"Tiruppur, TN India  ",FALSE,100
476762.5,0,279070,13000,425760,"Gorakhpur, UP India  ",FALSE,100
476762.5,0,206970,13000,329770,Mombasa Kenya  ,FALSE,100
476762.5,0,65030,13000,112570,"Vasai-Virar, MH India  ",FALSE,100
0,1,8190,13000,14280,Tarsus Turkey  ,FALSE,100
476762.5,0,189140,13000,207460,"Jalgaon, MH India  ",FALSE,100
476762.5,0,272500,13000,260450,Meknes Morocco  ,FALSE,100
476762.5,0,289940,13000,440680,Gwangju South Korea  ,FALSE,100
476762.5,0,181870,13000,234960,"Jamnagar, GJ India  ",TRUE,100
476762.5,0,282250,13000,396860,Davao City Philippines  ,FALSE,100
476762.5,0,349820,13000,547290,"Bhubaneswar, OR India  ",FALSE,100
476762.5,0,234430,13000,484280,"Amritsar, PB India  ",FALSE,100
476762.5,0,208280,13000,483930,"Jamshedpur, JH India  ",FALSE,100
476762.5,0,149120,13000,153060,Djibouti Djibouti ,FALSE,100
0,1,3460,13000,20350,Mandalay Myanmar  ,FALSE,100
476762.5,0,55730,13000,109510,"Kayamkulam, KL India  ",FALSE,100
476762.5,0,267070,13000,410030,"Bareilly, UP India  ",FALSE,100
